title,slug,minutes,ingredients,steps,tags,kcal,protein,carbs,fat,cost_tier
Mediterranean Lentil Stew,mediterranean-lentil-stew,35,lentils|tomato|onion|garlic|spinach,rinse lentils|sweat aromatics|simmer until tender|stir in spinach and rest,vegan|fiber|budget,420,24,58,10,£
Citrus Herb Roast Chicken,citrus-herb-roast-chicken,60,whole chicken|lemon|garlic|thyme|olive oil|salt,preheat oven|season chicken|roast until 75°C core temp|rest then carve,protein|family|dinner,520,48,5,34,££
Smoky Chickpea Bowl,smoky-chickpea-bowl,20,chickpeas|smoked paprika|cumin|quinoa|spinach|yogurt,rinse chickpeas|toast spices|toss with quinoa and greens|dollop yogurt,vegetarian|quick|fiber,480,22,70,14,£
Salmon & Greens Traybake,salmon-greens-traybake,25,salmon|broccoli|green beans|olive oil|lemon,preheat oven|toss veg with oil|add salmon|roast until flaky,omega-3|low-carb|family,460,36,12,28,££
Tofu Stir-Fry with Ginger,tofu-stir-fry-ginger,18,firm tofu|ginger|soy sauce|garlic|mixed veg|sesame oil,press tofu|stir-fry veg|add tofu and sauce|finish with sesame oil,vegan|high-protein|quick,430,27,38,18,£
Overnight Oats with Berries,overnight-oats-berries,5,oats|milk|chia|mixed berries|honey,combine oats milk chia|refrigerate overnight|top with berries and honey,breakfast|fiber|prep-ahead,350,12,54,10,£
Beef & Pepper Fajitas,beef-pepper-fajitas,22,beef strips|bell peppers|onion|fajita spice|tortillas,sear beef|saute peppers and onion|combine with spice|serve in tortillas,high-protein|family|fast,640,38,62,26,££
Pesto Pasta with Peas,pesto-pasta-peas,15,pasta|pesto|peas|parmesan,boil pasta|add peas last 2 min|toss with pesto|finish with parmesan,vegetarian|budget|comfort,520,16,78,18,£
Greek Salad Bowl,greek-salad-bowl,10,cucumber|tomato|red onion|olives|feta|olive oil|oregano,chop veg|toss with oil and oregano|top with feta,low-carb|vegetarian|refreshing,320,12,16,22,£
Protein Pancakes,protein-pancakes,12,eggs|banana|oats|baking powder|yogurt,blend batter|cook pancakes|serve with yogurt,breakfast|high-protein|gluten-free,410,28,42,14,£
